"","Gene","avg_fold_changes"
"633","METTL21A",2.10947216752556
"634","CLDN22",2.10645676193309
"635","MC3R",2.10414454275207
"636","CCL5",2.10316128162404
"637","CA1",2.10218385070686
"638","OTUB2",2.10084459751431
"639","CISD2",2.09684870695261
"640","CHRM2",2.09012950315812
"641","hsa-mir-4481",2.08717634403729
"642","KIAA2022",2.07177182107674
"643","NARR",2.06820473011664
"644","TNFAIP3",2.06785084491687
"645","OR8G2",2.06784700359216
"646","MIER3",2.06582787474903
"647","RNF130",2.06554634619347
"648","ISG15",2.06501962560324
"649","C2orf72",2.06413247951902
"650","NLRP11",2.06406898010808
"651","PPAT",2.06038781894046
"652","CRYBA1",2.05667328517059
"653","MYL12A",2.05333680289329
"654","hsa-mir-33b",2.0438169421781
"655","CYP46A1",2.03706106827297
"656","KRT33A",2.03390480855402
"657","PRAMEF4",2.02868522786546
"658","ZNF428",2.0209412236587
"659","DNALI1",2.01540726296729
"660","hsa-mir-3609",2.01319937928085
"661","AHNAK",1.99804706417245
"662","VPS33A",1.99742554559629
"663","WIPF2",1.99514629570798
"664","C11orf31",1.9910923278721
"665","hsa-mir-552",1.98803062304191
"666","PLN",1.98547232538303
"667","hsa-mir-5695",1.98468731263602
"668","UTY",1.98260707093794
"669","POLR2K",1.97693418070089
"670","SCN2A",1.9750684122295
"671","HSD17B12",1.96876185426562
"672","SLC25A21",1.96283678164493
"673","OR5AK2",1.96218228394509
"674","RRAGA",1.95986259682362
"675","KIF4A",1.94675035494932
"676","HTR2B",1.93383885428816
"677","BACE2",1.92967254323132
"678","NNT",1.92769162813303
"679","LRTOMT",1.92228604672375
"680","UBE4A",1.90192529347104
"681","GMPS",1.90121037048204
"682","hsa-mir-5002",1.90064815460616
"683","DUSP16",1.89525570464641
"684","RAC1",1.89457054652234
"685","HNRNPR",1.89414010048914
"686","ZNF155",1.88617572172712
"687","PNMAL2",1.88543565502958
"688","DNAJC18",1.88359907480762
"689","TNNT2",1.8758586566172
"690","hsa-mir-300",1.87538285290031
"691","hsa-mir-891a",1.87213493596695
"692","ARHGAP18",1.87054815878472
"693","STOM",1.86501674710165
"694","TCF19",1.8636439482226
"695","HNRNPUL2",1.86251371455376
"696","POF1B",1.86027020911582
"697","C6orf201",1.8586546226274
"698","hsa-mir-7107",1.85756585388703
"699","ATAD3C",1.85219712665111
"700","hsa-mir-147b",1.8479919395742
"701","LYZL6",1.84693325822246
"702","ZNF248",1.84440111892249
"703","CAST",1.84131895664195
"704","ASTN2",1.83912069015228
"705","PRSS21",1.83140960358364
"706","SCAF11",1.81312420064903
"707","STAM2",1.81142820951127
"708","FRYL",1.80689062060011
"709","SLIT2",1.79965178767373
"710","SIRT7",1.79652605978532
"711","GANAB",1.7946322540274
"712","PIK3C2G",1.79118046261815
"713","hsa-mir-1261",1.78981310467987
"714","hsa-mir-29c",1.7885654176171
"715","FAM71F2",1.78810047011539
"716","MMGT1",1.78301659240074
"717","GPR158",1.78000255651926
"718","GAS8",1.77586743208318
"719","XRCC2",1.75651964631036
"720","ATP1B3",1.74654465867564
"721","SLC25A24",1.74471230606386
"722","CYP4F22",1.74408531202494
"723","IKBIP",1.74107142077443
"724","PI4K2A",1.73455508490849
"725","HDAC2",1.7343855918357
"726","ALDH3A1",1.72981959095768
"727","ZNF566",1.72905406555492
"728","NDUFA8",1.72790897931494
"729","RSPH3",1.72029609188994
"730","B3GNT8",1.71497534194467
"731","CMTM1",1.71437619890789
"732","NPPC",1.70900027432149
"733","GNRHR",1.70864436797713
"734","RTEL1",1.70443045374068
"735","MYOD1",1.70431888549292
"736","RAB10",1.69658163541205
"737","TMEM218",1.69583778224514
"738","SSMEM1",1.69442002972074
"739","ATP7B",1.69123259082424
"740","BACE1",1.68866509502391
"741","LAMC1",1.68806166359117
"742","SFXN3",1.68591374646505
